ax,ay,az
0.05,-1.13,-0.11
0.06,-1.14,-0.08
0.06,-1.13,-0.1
0.04,-1.09,-0.11
0.04,-1.09,-0.11
0.05,-1.1,-0.14
0.06,-1.1,-0.15
0.06,-1.07,-0.14
0.05,-1.07,-0.13
0.07,-1.09,-0.14
0.05,-1.08,-0.12
0.07,-1.06,-0.14
0.07,-1.05,-0.12
0.06,-1.05,-0.14
0.08,-1.04,-0.16
0.08,-1.04,-0.16
0.06,-1.06,-0.14
0.06,-1.05,-0.15
0.04,-1.03,-0.14
0.04,-1.02,-0.15
0.02,-1.0,-0.16
0.01,-1.0,-0.18
-0.0,-1.0,-0.22
-0.0,-1.0,-0.23
-0.02,-1.01,-0.24
-0.02,-1.01,-0.24
-0.03,-1.0,-0.23
-0.03,-0.99,-0.22
-0.04,-0.99,-0.22
-0.04,-0.99,-0.21
-0.04,-1.0,-0.2
-0.04,-1.0,-0.2
-0.05,-0.98,-0.19
-0.05,-0.98,-0.19
-0.04,-0.98,-0.18
-0.04,-0.97,-0.16
-0.05,-0.96,-0.1
-0.04,-0.95,-0.08
-0.04,-0.94,-0.05
-0.04,-0.94,-0.04
-0.04,-0.96,-0.02
-0.04,-0.97,-0.01
-0.03,-0.99,0.01
-0.04,-1.0,0.02
-0.04,-1.01,0.07
-0.04,-1.01,0.09
-0.05,-1.0,0.11
-0.06,-1.0,0.13
-0.06,-1.0,0.13
-0.06,-0.98,0.13
-0.06,-0.98,0.13
-0.06,-0.99,0.12
-0.06,-1.0,0.11
-0.07,-1.01,0.08
-0.08,-1.01,0.06
-0.09,-1.01,0.04
-0.09,-1.01,0.01
-0.11,-1.0,-0.02
0.47,-0.41,0.52
0.53,-0.41,0.41
0.7,-0.51,0.03
0.85,-0.61,-0.28
1.12,-0.98,-0.98
1.19,-1.1,-1.23
1.27,-0.99,-1.31
1.22,-0.81,-1.18
1.0,-0.16,-0.43
0.99,0.01,0.11
1.13,-0.05,1.68
1.24,-0.07,2.53
1.15,-0.15,3.77
0.96,-0.17,4.0
0.5,-0.1,4.0
0.22,0.0,3.86
0.03,0.1,3.01
0.1,0.19,2.59
0.21,0.19,2.15
0.59,0.06,1.1
0.79,-0.07,0.48
1.21,-0.51,-0.79
1.38,-0.79,-1.37
1.48,-1.13,-1.91
1.45,-1.14,-1.84
1.19,-0.94,-1.22
1.01,-0.74,-0.75
0.64,-0.35,0.19
0.49,-0.26,0.55
0.29,-0.2,0.99
0.27,-0.21,1.12
0.3,-0.34,1.13
0.34,-0.42,1.07
0.42,-0.5,0.85
0.46,-0.51,0.72
0.52,-0.59,0.5
0.53,-0.6,0.44
0.56,-0.55,0.4
0.55,-0.52,0.41
0.54,-0.47,0.49
0.54,-0.47,0.54
0.56,-0.5,0.61
