ax,ay,az
-0.09,-0.97,0.17
-0.06,-0.99,0.15
-0.08,-0.98,0.15
-0.07,-0.99,0.15
-0.07,-0.99,0.16
-0.07,-0.98,0.18
-0.07,-0.97,0.2
-0.07,-0.97,0.24
-0.06,-0.98,0.22
-0.07,-0.97,0.23
-0.06,-0.99,0.22
-0.06,-0.99,0.21
-0.06,-0.99,0.21
-0.06,-0.99,0.21
-0.05,-0.99,0.21
-0.05,-0.99,0.21
-0.05,-0.98,0.2
-0.05,-0.97,0.21
-0.05,-0.97,0.2
-0.05,-0.96,0.19
-0.05,-0.96,0.16
-0.06,-0.96,0.16
-0.05,-0.96,0.14
-0.05,-0.96,0.14
-0.03,-0.97,0.14
-0.03,-0.98,0.15
-0.03,-0.97,0.17
-0.03,-0.97,0.18
-0.03,-0.96,0.19
-0.03,-0.95,0.19
-0.03,-0.96,0.2
-0.02,-0.97,0.19
-0.01,-0.99,0.17
-0.02,-0.99,0.16
-0.03,-0.99,0.16
-0.03,-0.99,0.16
-0.03,-0.98,0.18
-0.02,-0.98,0.2
-0.02,-0.98,0.2
-0.01,-0.99,0.21
-0.01,-0.99,0.22
-0.01,-1.0,0.21
-0.01,-1.0,0.2
-0.01,-1.0,0.17
-0.02,-0.99,0.17
-0.01,-0.99,0.18
-0.01,-0.99,0.18
-0.0,-0.99,0.19
-0.0,-0.99,0.19
-0.0,-0.98,0.19
-0.0,-0.98,0.18
0.0,-0.97,0.19
0.0,-0.97,0.19
0.01,-0.97,0.2
0.01,-0.96,0.2
0.01,-0.96,0.2
0.01,-0.97,0.2
0.02,-0.97,0.21
0.02,-0.96,0.2
0.01,-0.95,0.19
0.02,-0.95,0.18
0.01,-0.95,0.16
0.01,-0.95,0.15
0.02,-0.98,0.15
0.02,-1.0,0.16
0.03,-1.01,0.17
0.02,-1.01,0.17
0.02,-1.0,0.16
0.03,-1.0,0.17
0.01,-0.98,0.18
0.01,-0.97,0.19
0.01,-0.97,0.19
0.01,-0.97,0.19
0.01,-0.97,0.19
0.01,-0.97,0.19
0.01,-0.97,0.2
0.03,-0.96,0.24
0.07,-0.98,0.32
0.21,-1.0,0.65
0.48,-1.01,1.09
1.03,-0.44,2.73
1.26,0.24,3.57
0.67,0.69,3.16
1.0,0.18,2.18
0.81,-1.46,-0.18
0.81,-1.96,-1.06
0.46,-1.78,-2.49
0.23,-1.94,-2.95
-0.18,-1.89,-2.94
-0.3,-1.6,-2.43
-0.27,-1.02,-0.81
-0.22,-0.78,-0.1
-0.04,-0.62,0.46
0.01,-0.66,0.39
0.06,-0.84,0.32
0.04,-0.89,0.29
0.01,-0.87,0.09
-0.01,-0.83,-0.01
-0.02,-0.83,-0.14
-0.03,-0.84,-0.18
