ax,ay,az
-0.17,-0.99,-0.16
-0.16,-0.99,-0.16
-0.15,-0.99,-0.15
-0.15,-0.99,-0.14
-0.14,-0.99,-0.14
-0.13,-0.99,-0.14
-0.13,-0.99,-0.14
-0.1,-1.0,-0.16
-0.1,-0.99,-0.16
-0.1,-1.0,-0.16
-0.09,-1.0,-0.15
-0.08,-0.99,-0.12
-0.08,-0.99,-0.1
-0.07,-0.99,-0.07
-0.06,-1.0,-0.06
-0.05,-1.01,-0.05
-0.05,-1.02,-0.04
-0.04,-1.02,-0.03
-0.03,-1.03,-0.02
-0.03,-1.02,0.02
-0.03,-1.01,0.02
-0.03,-1.0,0.02
-0.03,-0.99,0.02
-0.03,-0.99,0.01
-0.02,-0.99,0.01
-0.02,-1.0,0.01
-0.01,-1.0,0.01
-0.01,-1.0,0.01
-0.01,-1.0,0.01
-0.0,-1.01,0.0
0.0,-1.01,-0.01
0.0,-1.0,-0.02
0.0,-1.0,-0.03
0.01,-0.99,-0.03
0.01,-0.99,-0.02
0.01,-0.99,-0.02
0.01,-0.98,-0.03
0.02,-0.98,-0.03
0.02,-0.98,-0.04
0.02,-0.98,-0.04
0.03,-0.98,-0.02
0.03,-0.98,-0.01
0.03,-0.98,0.0
0.04,-0.99,0.01
0.04,-0.99,0.01
0.05,-0.99,0.02
0.06,-0.99,0.02
0.05,-0.98,0.03
0.04,-0.95,0.05
0.05,-0.95,0.06
0.07,-0.98,0.07
0.06,-0.99,0.09
0.07,-1.0,0.09
0.08,-1.0,0.09
0.09,-1.01,0.09
0.09,-1.01,0.09
0.09,-1.01,0.1
0.09,-1.01,0.1
0.09,-0.99,0.09
0.09,-0.97,0.08
0.09,-0.96,0.08
0.1,-0.98,0.08
0.11,-1.02,0.11
0.11,-1.04,0.12
0.12,-1.06,0.13
0.12,-1.06,0.13
0.12,-1.06,0.13
0.12,-1.05,0.13
0.13,-1.04,0.13
0.14,-1.03,0.14
0.15,-1.03,0.15
0.21,-1.01,0.2
0.27,-1.02,0.28
0.47,-1.08,0.6
0.61,-1.1,0.96
0.9,-0.84,2.02
1.01,-0.56,2.8
0.93,-0.2,3.53
0.91,-0.17,3.13
1.55,-0.59,1.76
1.65,-0.93,0.66
1.54,-1.57,-0.57
1.14,-1.56,-1.0
0.59,-1.7,-2.06
0.34,-1.72,-2.09
-0.24,-1.28,-1.75
-0.38,-1.09,-1.62
-0.28,-0.98,-1.42
-0.22,-0.95,-1.21
-0.17,-0.97,-0.79
-0.14,-0.98,-0.62
-0.11,-0.93,-0.31
-0.09,-0.89,-0.18
-0.07,-0.81,0.05
-0.05,-0.79,0.11
-0.02,-0.78,0.2
0.01,-0.79,0.19
0.05,-0.82,0.22
0.03,-0.84,0.23
0.03,-0.86,0.22
