ax,ay,az
-0.11,-1.0,0.11
-0.11,-1.0,0.11
-0.11,-0.99,0.09
-0.12,-0.99,0.08
-0.12,-1.0,0.06
-0.11,-1.0,0.06
-0.11,-1.0,0.06
-0.11,-0.99,0.06
-0.11,-1.0,0.07
-0.1,-1.0,0.09
-0.1,-1.0,0.09
-0.1,-1.0,0.08
-0.09,-0.99,0.09
-0.09,-1.0,0.09
-0.1,-0.97,0.09
-0.1,-0.97,0.1
-0.11,-0.97,0.1
-0.11,-0.97,0.1
-0.12,-0.97,0.08
-0.11,-0.96,0.08
-0.11,-0.96,0.07
-0.11,-0.98,0.07
-0.1,-1.0,0.08
-0.1,-1.0,0.08
-0.09,-1.01,0.08
-0.09,-1.02,0.09
-0.09,-1.0,0.1
-0.09,-1.0,0.11
-0.09,-1.01,0.1
-0.08,-1.01,0.11
-0.07,-1.02,0.12
-0.08,-1.01,0.11
-0.09,-1.0,0.1
-0.09,-0.98,0.1
-0.09,-0.98,0.09
-0.1,-0.98,0.08
-0.1,-0.98,0.08
-0.09,-0.97,0.09
-0.09,-0.97,0.09
-0.09,-0.99,0.1
-0.09,-1.0,0.11
-0.08,-1.0,0.13
-0.08,-1.0,0.13
-0.08,-0.99,0.1
-0.09,-0.99,0.09
-0.08,-0.96,0.08
-0.09,-0.96,0.08
-0.09,-0.96,0.08
-0.08,-0.97,0.08
-0.08,-0.98,0.09
-0.07,-0.99,0.09
-0.07,-1.0,0.11
-0.07,-1.0,0.11
-0.07,-0.99,0.12
-0.08,-0.98,0.12
-0.09,-0.97,0.1
-0.09,-0.96,0.1
-0.08,-0.97,0.1
-0.09,-0.98,0.1
-0.08,-1.02,0.12
-0.07,-1.02,0.12
-0.07,-1.01,0.12
-0.08,-1.0,0.12
-0.07,-1.01,0.12
-0.07,-1.03,0.14
-0.08,-1.02,0.13
-0.08,-0.99,0.13
-0.09,-0.98,0.12
-0.09,-0.97,0.1
-0.09,-0.97,0.1
-0.09,-0.98,0.1
-0.09,-0.98,0.11
-0.08,-0.99,0.13
-0.08,-0.98,0.13
-0.08,-0.97,0.12
-0.08,-0.97,0.12
-0.09,-0.95,0.11
-0.1,-0.96,0.1
-0.09,-1.06,0.12
-0.08,-1.16,0.14
0.26,-1.84,0.47
0.6,-2.73,0.76
0.47,-3.49,1.23
0.33,-2.81,1.1
-0.22,-0.91,-0.04
-0.44,-0.07,-0.66
-0.51,1.2,-1.19
-0.52,1.57,-1.23
-0.55,1.63,-1.14
-0.41,1.33,-0.92
-0.18,0.03,-0.22
0.22,-0.76,0.26
0.39,-1.45,0.71
0.33,-2.18,1.1
0.18,-2.22,1.08
-0.08,-1.91,0.82
-0.18,-1.67,0.65
0.09,-1.36,0.43
0.05,-1.34,0.41
-0.02,-1.28,0.32
