ax,ay,az
-0.06,-1.37,0.55
-0.12,-1.31,0.61
-0.14,-1.23,0.59
-0.18,-1.11,0.54
-0.19,-1.06,0.51
-0.21,-1.02,0.48
-0.2,-0.95,0.46
-0.18,-0.94,0.45
-0.18,-0.88,0.38
-0.18,-0.87,0.33
-0.15,-0.89,0.23
-0.14,-0.89,0.21
-0.1,-0.89,0.19
-0.08,-0.89,0.19
-0.02,-0.89,0.18
-0.01,-0.9,0.21
-0.0,-0.89,0.26
0.0,-0.89,0.28
0.01,-0.89,0.31
0.02,-0.91,0.33
0.03,-0.96,0.34
0.03,-0.98,0.35
0.04,-1.02,0.39
0.03,-1.02,0.41
0.01,-1.01,0.43
-0.0,-1.0,0.43
-0.01,-0.99,0.46
-0.02,-0.99,0.47
-0.03,-0.98,0.44
-0.05,-0.96,0.43
-0.07,-0.93,0.42
-0.08,-0.92,0.41
-0.08,-0.9,0.37
-0.08,-0.9,0.36
-0.1,-0.9,0.35
-0.1,-0.9,0.34
-0.09,-0.9,0.3
-0.11,-0.91,0.29
-0.12,-0.89,0.27
-0.13,-0.88,0.26
-0.13,-0.88,0.26
-0.12,-0.9,0.25
-0.12,-0.91,0.26
-0.11,-0.96,0.28
-0.11,-0.98,0.29
-0.11,-1.0,0.28
-0.1,-1.0,0.29
-0.09,-1.0,0.41
-0.07,-1.01,0.45
-0.1,-1.03,0.5
-0.1,-1.02,0.46
-0.12,-1.0,0.45
-0.14,-1.0,0.49
-0.1,-0.93,0.51
-0.02,-0.92,0.51
-0.01,-0.83,0.5
-0.04,-0.75,0.43
-0.08,-0.66,0.29
-0.1,-0.66,0.28
-0.09,-0.68,0.33
-0.09,-0.7,0.36
-0.11,-0.77,0.41
-0.12,-0.79,0.42
-0.14,-0.83,0.42
-0.15,-0.84,0.43
-0.17,-0.88,0.39
-0.16,-0.93,0.38
-0.16,-0.97,0.38
-0.16,-1.08,0.38
-0.15,-1.16,0.39
-0.15,-1.38,0.32
0.33,0.34,0.8
0.34,0.33,0.79
0.35,0.28,0.8
0.35,0.26,0.81
0.37,0.19,0.84
0.37,0.15,0.88
0.38,0.14,0.89
0.37,0.15,0.9
0.39,0.04,0.92
0.39,-0.13,0.97
0.42,-1.46,1.22
0.76,-3.73,1.87
0.64,-4.0,4.0
0.94,-4.0,3.99
1.98,-4.0,0.98
4.0,-4.0,-0.65
4.0,-2.73,-2.62
4.0,4.0,-3.18
4.0,4.0,-1.99
4.0,4.0,1.51
3.31,4.0,2.77
1.93,4.0,2.08
1.68,2.01,1.91
1.35,-2.69,1.49
1.05,-4.0,1.34
0.25,-3.63,1.11
-0.06,-2.72,0.66
-0.22,-0.76,0.16
-0.14,-0.01,0.21
