ax,ay,az
-0.01,-0.96,0.12
-0.02,-0.98,0.12
-0.0,-1.03,0.14
0.01,-1.09,0.16
0.04,-1.25,0.18
0.06,-1.37,0.22
0.15,-1.63,0.38
0.17,-1.71,0.49
0.12,-1.62,0.53
0.05,-1.45,0.43
-0.06,-1.03,0.19
-0.1,-0.81,0.07
-0.17,-0.4,-0.14
-0.2,-0.21,-0.25
-0.27,0.03,-0.4
-0.29,0.06,-0.43
-0.27,0.03,-0.36
-0.17,-0.23,-0.29
-0.11,-0.46,-0.18
0.04,-0.99,0.17
0.1,-1.2,0.34
0.1,-1.48,0.54
0.07,-1.54,0.56
-0.03,-1.5,0.46
-0.07,-1.41,0.38
-0.13,-1.19,0.21
-0.16,-1.09,0.14
-0.16,-0.95,0.05
-0.16,-0.91,0.03
-0.13,-0.89,0.02
-0.11,-0.9,0.04
-0.08,-0.93,0.07
-0.07,-0.94,0.1
-0.05,-0.96,0.15
-0.05,-0.97,0.16
-0.04,-1.01,0.19
-0.04,-1.02,0.2
-0.04,-1.01,0.19
-0.05,-1.0,0.17
-0.06,-0.97,0.14
-0.06,-0.98,0.12
-0.05,-0.96,0.11
-0.04,-0.96,0.1
-0.04,-0.97,0.1
-0.04,-0.97,0.11
-0.03,-0.99,0.14
-0.02,-1.01,0.15
-0.02,-1.02,0.15
-0.03,-1.01,0.13
-0.04,-1.0,0.13
-0.04,-0.98,0.12
-0.04,-0.97,0.12
-0.04,-0.97,0.12
-0.04,-0.98,0.12
-0.04,-0.98,0.11
-0.03,-0.99,0.11
-0.03,-1.0,0.14
-0.02,-1.01,0.15
-0.02,-1.0,0.15
-0.02,-1.0,0.15
-0.02,-1.0,0.15
-0.02,-1.0,0.14
-0.02,-1.0,0.14
-0.02,-1.0,0.14
-0.02,-1.0,0.13
-0.02,-1.01,0.13
-0.02,-1.0,0.13
-0.03,-1.0,0.13
-0.03,-0.98,0.12
-0.03,-0.98,0.13
-0.03,-0.98,0.12
-0.03,-0.97,0.12
-0.02,-0.98,0.12
-0.03,-0.98,0.12
-0.03,-0.98,0.12
-0.04,-0.97,0.12
-0.03,-1.01,0.13
-0.03,-1.08,0.15
-0.01,-1.19,0.18
0.09,-1.58,0.25
0.2,-1.93,0.39
0.21,-0.08,0.9
0.2,-0.11,0.91
0.22,-0.15,0.99
0.19,-0.15,1.0
0.1,-0.2,0.93
0.04,-0.27,0.93
-0.04,-0.8,1.08
-0.13,-1.31,1.22
-0.01,-3.18,1.64
0.17,-4.0,1.9
0.91,-4.0,1.85
1.28,-4.0,1.59
1.19,-2.51,1.08
1.27,-1.49,0.85
1.21,0.83,0.65
1.21,1.81,0.83
1.61,2.86,1.02
1.37,3.22,0.77
0.59,3.62,0.91
