ax,ay,az
-0.14,-1.03,0.28
-0.16,-1.05,0.26
-0.17,-1.06,0.22
0.36,0.08,1.15
0.33,-0.05,1.09
0.33,-0.17,1.07
0.27,-0.34,1.01
0.26,-0.37,0.99
0.29,-0.36,1.02
0.3,-0.35,1.06
0.29,-0.33,0.99
0.27,-0.32,0.93
0.27,-0.36,0.96
0.21,-0.33,0.9
0.19,-0.3,0.84
0.16,-0.23,0.83
0.17,-0.2,0.88
0.19,-0.08,0.9
0.16,-0.02,0.88
0.21,-0.02,0.89
0.2,-0.03,0.91
0.19,-0.09,0.92
0.19,-0.08,0.91
0.19,-0.04,0.9
0.19,-0.04,0.91
0.21,-0.02,0.95
0.21,0.0,0.98
0.2,0.08,0.96
0.19,0.11,0.96
0.2,0.13,0.94
0.18,0.15,0.93
0.19,0.18,0.91
0.18,0.19,0.91
0.19,0.24,0.93
0.2,0.25,0.92
0.21,0.26,0.91
0.21,0.26,0.92
0.22,0.24,0.93
0.23,0.23,0.92
0.23,0.24,0.92
0.22,0.24,0.92
0.22,0.27,0.91
0.22,0.26,0.91
0.22,0.27,0.9
0.22,0.28,0.91
0.21,0.26,0.91
0.21,0.22,0.88
0.22,0.19,0.88
0.23,0.15,0.9
0.23,0.14,0.9
0.23,0.13,0.91
0.23,0.14,0.93
0.22,0.17,0.91
0.23,0.18,0.92
0.23,0.2,0.93
0.23,0.2,0.93
0.24,0.2,0.94
0.23,0.21,0.93
0.23,0.21,0.95
0.23,0.21,0.95
0.22,0.21,0.94
0.22,0.22,0.94
0.22,0.21,0.94
0.22,0.2,0.94
0.22,0.18,0.93
0.22,0.17,0.92
0.21,0.18,0.92
0.21,0.18,0.93
0.22,0.19,0.92
0.22,0.19,0.93
0.22,0.21,0.94
0.22,0.21,0.93
0.22,0.19,0.94
0.22,0.2,0.92
0.22,0.19,0.92
0.22,0.16,0.9
0.2,0.17,0.91
0.2,0.15,0.91
0.2,0.1,0.91
0.19,0.06,0.88
0.18,0.03,0.88
0.21,-0.08,0.9
0.2,-0.11,0.91
0.22,-0.15,0.99
0.19,-0.15,1.0
0.1,-0.2,0.93
0.04,-0.27,0.93
-0.04,-0.8,1.08
-0.13,-1.31,1.22
-0.01,-3.18,1.64
0.17,-4.0,1.9
0.91,-4.0,1.85
1.28,-4.0,1.59
1.19,-2.51,1.08
1.27,-1.49,0.85
1.21,0.83,0.65
1.21,1.81,0.83
1.61,2.86,1.02
1.37,3.22,0.77
0.59,3.62,0.91
