ax,ay,az
-0.14,-1.03,0.28
-0.16,-1.05,0.26
-0.17,-1.06,0.22
-0.18,-1.05,0.22
-0.18,-1.02,0.22
-0.18,-1.0,0.21
-0.17,-0.96,0.2
-0.17,-0.94,0.19
-0.17,-0.93,0.18
-0.17,-0.92,0.16
-0.17,-0.91,0.13
-0.17,-0.92,0.12
-0.15,-0.94,0.12
-0.14,-0.94,0.13
-0.14,-0.94,0.14
-0.14,-0.93,0.14
-0.15,-0.91,0.14
-0.14,-0.91,0.15
-0.14,-0.91,0.15
-0.11,-0.95,0.16
-0.12,-0.94,0.17
-0.11,-0.94,0.19
-0.11,-0.93,0.19
-0.11,-0.89,0.18
-0.12,-0.87,0.18
-0.11,-0.86,0.18
-0.11,-0.86,0.19
-0.09,-0.89,0.21
-0.07,-0.93,0.21
-0.06,-0.99,0.19
-0.06,-1.01,0.18
-0.06,-1.05,0.17
-0.06,-1.06,0.16
-0.06,-1.08,0.16
-0.05,-1.09,0.17
-0.04,-1.11,0.21
-0.05,-1.09,0.21
-0.05,-1.03,0.24
-0.05,-1.0,0.26
-0.04,-0.97,0.33
-0.02,-0.95,0.38
0.01,-0.96,0.43
0.03,-0.97,0.44
0.05,-1.0,0.45
0.04,-1.01,0.44
0.04,-1.01,0.43
0.03,-1.01,0.42
0.02,-1.02,0.37
0.01,-1.03,0.33
0.01,-1.03,0.29
-0.01,-1.02,0.21
-0.03,-1.02,0.17
-0.05,-1.02,0.11
-0.06,-1.01,0.08
-0.07,-1.01,0.07
-0.07,-1.0,0.08
-0.07,-1.0,0.07
-0.07,-0.99,0.07
-0.08,-0.98,0.06
-0.08,-0.98,0.05
-0.08,-0.97,0.05
-0.08,-0.98,0.05
-0.08,-0.98,0.07
-0.07,-0.97,0.07
-0.07,-0.96,0.09
-0.07,-0.95,0.1
-0.06,-0.94,0.13
-0.06,-0.93,0.15
-0.06,-0.93,0.18
-0.06,-0.94,0.19
-0.05,-0.99,0.21
-0.05,-1.04,0.23
0.03,-1.31,0.26
0.12,-1.64,0.29
-0.13,-0.8,-0.13
-0.09,-0.99,-0.21
-0.08,-1.09,-0.29
-0.09,-1.23,-0.33
-0.05,-1.35,-0.26
0.04,-1.5,-0.22
0.06,-1.54,-0.23
0.09,-1.77,-0.31
0.07,-1.89,-0.38
0.01,-2.07,-0.45
-0.01,-2.13,-0.38
-0.01,-2.22,-0.12
0.02,-2.43,-0.01
0.21,-3.98,-0.01
0.19,-4.0,-0.51
-0.12,-4.0,-2.9
-0.12,-4.0,-3.44
1.43,-4.0,-2.05
2.24,-2.62,-1.36
2.14,3.72,0.21
1.69,4.0,-0.11
-0.35,4.0,0.42
-0.72,4.0,0.79
-0.36,4.0,0.07
-0.06,2.12,-0.22
0.17,-2.22,-0.6
