ax,ay,az
0.04,-1.04,0.09
0.04,-1.03,0.1
0.04,-1.01,0.11
0.02,-0.97,0.09
0.02,-0.96,0.08
0.01,-0.95,0.08
0.01,-0.95,0.08
0.01,-0.95,0.09
0.02,-0.96,0.09
0.03,-0.98,0.1
0.03,-0.99,0.1
0.04,-0.99,0.09
0.06,-1.02,0.1
0.06,-1.02,0.1
0.08,-1.04,0.1
0.08,-1.05,0.09
0.08,-1.04,0.08
0.08,-1.02,0.07
0.06,-0.99,0.05
0.06,-0.97,0.04
0.05,-0.94,0.03
0.04,-0.92,0.02
0.04,-0.91,0.02
0.04,-0.93,0.03
0.04,-0.95,0.04
0.04,-0.95,0.05
0.05,-0.96,0.05
0.05,-0.97,0.06
0.06,-1.0,0.08
0.06,-1.01,0.09
0.06,-1.02,0.09
0.06,-1.01,0.09
0.07,-1.0,0.1
0.07,-0.99,0.1
0.07,-0.98,0.08
0.07,-0.98,0.08
0.07,-0.94,0.06
0.07,-0.95,0.06
0.08,-0.97,0.06
0.08,-0.98,0.04
0.08,-0.99,0.03
0.09,-1.0,0.03
0.09,-1.0,0.03
0.09,-0.98,0.04
0.09,-0.97,0.04
0.09,-0.94,0.05
0.09,-0.93,0.05
0.1,-0.94,0.05
0.15,-0.97,0.04
0.14,-0.97,0.05
0.14,-0.95,0.04
0.12,-0.88,0.03
0.12,-0.82,0.03
0.1,-0.71,0.05
0.11,-0.7,0.07
0.2,-0.88,0.09
0.22,-0.97,0.11
0.27,-1.14,0.13
0.27,-1.16,0.15
0.49,-0.88,0.1
0.5,-0.85,0.1
0.52,-0.87,0.1
0.5,-0.89,0.13
0.51,-0.87,0.11
0.52,-0.88,0.09
0.51,-0.9,0.09
-0.0,-0.93,0.12
-0.01,-0.91,0.11
-0.02,-0.91,0.1
-0.01,-0.92,0.12
-0.0,-0.95,0.14
-0.0,-0.97,0.14
0.01,-0.97,0.15
0.0,-0.96,0.16
-0.0,-0.98,0.15
-0.01,-0.98,0.14
0.0,-0.98,0.14
-0.0,-1.0,0.13
0.01,-1.07,0.15
0.02,-1.13,0.16
0.05,-1.28,0.19
0.08,-1.41,0.23
-0.02,-0.99,0.15
-0.01,-0.63,0.26
-0.04,0.02,0.2
-0.09,0.23,0.11
-0.13,0.39,-0.07
-0.16,0.37,-0.13
-0.23,0.28,-0.3
-0.24,0.22,-0.39
-0.21,0.02,-0.45
-0.17,-0.14,-0.45
-0.1,-0.6,-0.44
-0.1,-0.84,-0.45
-0.12,-1.15,-0.44
-0.15,-1.2,-0.43
-0.21,-1.17,-0.4
-0.22,-1.17,-0.36
-0.22,-1.14,-0.25
-0.22,-1.11,-0.21
