ax,ay,az
-0.0,-1.75,0.28
-0.11,-1.87,0.21
-0.2,-1.75,0.19
-0.21,-1.58,0.2
-0.2,-1.2,0.25
-0.18,-1.01,0.29
-0.12,-0.69,0.4
-0.1,-0.56,0.45
-0.05,-0.39,0.52
-0.03,-0.34,0.53
-0.01,-0.29,0.55
-0.01,-0.29,0.54
0.0,-0.33,0.5
0.02,-0.37,0.48
0.04,-0.49,0.49
0.05,-0.56,0.49
0.08,-0.72,0.53
0.09,-0.79,0.53
0.07,-0.91,0.56
0.08,-0.95,0.54
0.07,-0.94,0.55
0.04,-0.92,0.55
0.03,-0.89,0.55
0.01,-0.84,0.54
0.02,-0.82,0.54
0.01,-0.79,0.52
0.02,-0.78,0.5
0.03,-0.77,0.5
0.04,-0.77,0.5
0.05,-0.76,0.51
0.06,-0.76,0.51
0.07,-0.79,0.52
0.08,-0.8,0.52
0.09,-0.83,0.52
0.09,-0.84,0.53
0.13,-1.0,0.19
0.12,-1.0,0.19
0.12,-0.99,0.19
0.11,-1.0,0.19
0.12,-1.0,0.19
0.11,-1.0,0.2
0.12,-1.01,0.2
0.12,-1.0,0.2
0.12,-0.99,0.21
0.12,-0.98,0.21
0.11,-0.96,0.21
0.11,-0.95,0.21
0.11,-0.93,0.21
0.11,-0.93,0.21
0.11,-0.93,0.21
0.11,-0.93,0.2
0.11,-0.94,0.2
0.11,-0.94,0.2
0.11,-0.95,0.2
0.11,-0.94,0.2
0.11,-0.96,0.21
0.11,-0.96,0.2
0.1,-0.96,0.21
0.1,-0.96,0.21
0.11,-0.96,0.21
0.11,-0.96,0.21
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.97,0.2
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.97,0.21
0.11,-0.98,0.21
0.11,-1.0,0.21
0.14,-1.12,0.2
0.17,-1.3,0.2
0.33,-2.25,0.18
0.43,-2.94,0.15
0.51,-4.0,0.06
0.36,-3.86,-0.08
0.3,-2.43,-0.2
0.27,-1.52,-0.14
0.23,0.15,0.16
0.26,0.85,0.24
0.19,1.62,0.28
0.14,1.66,0.31
0.03,1.13,0.5
-0.05,0.74,0.56
-0.14,-0.14,0.47
-0.17,-0.57,0.4
-0.2,-1.14,0.27
-0.23,-1.3,0.24
-0.3,-1.44,0.22
-0.31,-1.42,0.18
-0.33,-1.27,0.11
-0.33,-1.17,0.08
-0.3,-0.98,0.03
-0.28,-0.9,0.01
-0.25,-0.79,0.01
-0.23,-0.74,0.02
-0.2,-0.67,0.07
-0.19,-0.66,0.1
