ax,ay,az
-0.14,-1.03,0.28
-0.16,-1.05,0.26
-0.17,-1.06,0.22
-0.18,-1.05,0.22
-0.18,-1.02,0.22
-0.18,-1.0,0.21
-0.17,-0.96,0.2
-0.17,-0.94,0.19
-0.17,-0.93,0.18
-0.17,-0.92,0.16
-0.17,-0.91,0.13
-0.17,-0.92,0.12
-0.15,-0.94,0.12
-0.14,-0.94,0.13
-0.14,-0.94,0.14
-0.14,-0.93,0.14
-0.15,-0.91,0.14
-0.14,-0.91,0.15
-0.14,-0.91,0.15
-0.11,-0.95,0.16
-0.12,-0.94,0.17
-0.11,-0.94,0.19
-0.11,-0.93,0.19
-0.11,-0.89,0.18
-0.12,-0.87,0.18
-0.11,-0.86,0.18
-0.11,-0.86,0.19
-0.09,-0.89,0.21
-0.07,-0.93,0.21
-0.06,-0.99,0.19
-0.06,-1.01,0.18
-0.06,-1.05,0.17
-0.06,-1.06,0.16
-0.06,-1.08,0.16
-0.05,-1.09,0.17
-0.04,-1.11,0.21
-0.05,-1.09,0.21
-0.05,-1.03,0.24
-0.05,-1.0,0.26
-0.04,-0.97,0.33
-0.02,-0.95,0.38
-0.08,-1.01,0.29
-0.09,-0.99,0.28
-0.1,-0.95,0.26
-0.11,-0.92,0.27
-0.12,-0.83,0.28
-0.12,-0.81,0.29
-0.14,-0.76,0.31
-0.13,-0.74,0.32
-0.14,-0.72,0.35
-0.11,-0.7,0.36
-0.11,-0.7,0.38
-0.11,-0.71,0.38
-0.1,-0.74,0.37
-0.1,-0.81,0.38
-0.1,-0.83,0.39
-0.09,-0.88,0.4
-0.08,-0.92,0.43
-0.05,-0.99,0.48
-0.05,-1.01,0.49
-0.05,-1.0,0.47
-0.07,-0.98,0.46
-0.08,-0.93,0.44
-0.08,-0.9,0.43
-0.08,-0.84,0.43
-0.08,-0.83,0.43
-0.08,-0.81,0.44
-0.07,-0.8,0.46
-0.06,-0.81,0.47
-0.07,-0.81,0.47
-0.08,-0.83,0.44
-0.09,-0.83,0.43
-0.09,-0.86,0.44
-0.09,-0.89,0.45
-0.08,-0.94,0.46
-0.08,-0.96,0.45
-0.1,-0.97,0.45
-0.1,-0.98,0.44
-0.11,-1.01,0.42
-0.11,-1.04,0.42
-0.09,-1.23,0.45
-0.03,-1.44,0.48
0.01,-1.74,0.5
0.0,-2.2,0.51
-0.03,-2.19,0.54
-0.14,-1.67,0.57
-0.17,-1.37,0.55
-0.2,-0.83,0.49
-0.2,-0.59,0.44
-0.2,-0.2,0.37
-0.21,-0.04,0.33
-0.24,0.16,0.3
-0.26,0.17,0.29
-0.23,0.1,0.32
-0.23,0.04,0.37
-0.23,-0.05,0.43
-0.23,-0.11,0.44
-0.22,-0.35,0.47
-0.22,-0.49,0.48
-0.22,-0.8,0.5
