ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
0.422,-0.7375,0.3556,0.3228,0.3485,0.3286,jalar,0.0
0.4197,-0.7216,0.3542,0.3228,0.3485,0.3286,jalar,0.0
0.4147,-0.7217,0.363,0.3228,0.3485,0.3286,jalar,0.0
0.4128,-0.7279,0.3706,0.3228,0.3485,0.3286,jalar,0.0
0.4143,-0.7405,0.3827,0.3228,0.3485,0.3286,jalar,0.0
0.423,-0.7496,0.3884,0.3228,0.3485,0.3286,jalar,0.0
0.4302,-0.7606,0.3896,0.3228,0.3485,0.3286,jalar,0.0
0.4316,-0.7705,0.3892,0.3228,0.3485,0.3286,jalar,0.0
0.4319,-0.7877,0.4032,0.3228,0.3485,0.3286,jalar,0.0
0.4408,-0.8057,0.4072,0.3228,0.3485,0.3286,jalar,0.0
0.4412,-0.8197,0.4021,0.3228,0.3485,0.3286,jalar,0.0
0.4434,-0.8219,0.3938,0.3228,0.3485,0.3286,jalar,0.0
0.4429,-0.8164,0.3875,0.3228,0.3485,0.3286,jalar,0.0
0.4471,-0.7892,0.3839,0.3228,0.3485,0.3286,jalar,0.0
0.4384,-0.7635,0.385,0.3228,0.3485,0.3286,jalar,0.0
0.4313,-0.7473,0.3885,0.3228,0.3485,0.3286,jalar,0.0
0.424,-0.7354,0.3958,0.3228,0.3485,0.3286,jalar,0.0
0.4237,-0.7355,0.4052,0.3228,0.3485,0.3286,jalar,0.0
0.4305,-0.7396,0.4104,0.3228,0.3485,0.3286,jalar,0.0
0.4279,-0.7532,0.4202,0.3228,0.3485,0.3286,jalar,0.0
0.432,-0.767,0.4386,0.3228,0.3485,0.3286,jalar,0.0
0.437,-0.7789,0.4547,0.3228,0.3485,0.3286,jalar,0.0
0.4821,-0.7871,0.4717,0.3228,0.3485,0.3286,jalar,0.0
0.472,-0.7915,0.474,0.3228,0.3485,0.3286,jalar,0.0
0.4681,-0.7941,0.467,0.3228,0.3485,0.3286,jalar,0.0
0.4716,-0.7842,0.4559,0.3228,0.3485,0.3286,jalar,0.0
0.4681,-0.7749,0.4418,0.3228,0.3485,0.3286,jalar,0.0
0.4639,-0.7656,0.434,0.3228,0.3485,0.3286,jalar,0.0
0.4607,-0.7568,0.4259,0.3228,0.3485,0.3286,jalar,0.0
0.4526,-0.7468,0.42,0.3228,0.3485,0.3286,jalar,0.0
0.4435,-0.7394,0.4119,0.3228,0.3485,0.3286,jalar,0.0
