ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
0.0865,-0.6947,0.6846,0.3228,0.3485,0.3286,jalar,0.0
0.083,-0.6968,0.6869,0.3228,0.3485,0.3286,jalar,0.0
0.0887,-0.7042,0.693,0.3228,0.3485,0.3286,jalar,0.0
0.0852,-0.7032,0.7122,0.3228,0.3485,0.3286,jalar,0.0
0.0923,-0.7074,0.7075,0.3228,0.3485,0.3286,jalar,0.0
0.0898,-0.6993,0.7084,0.3228,0.3485,0.3286,jalar,0.0
0.093,-0.7037,0.7081,0.3228,0.3485,0.3286,jalar,0.0
0.0896,-0.7069,0.7081,0.3228,0.3485,0.3286,jalar,0.0
0.0911,-0.7032,0.7095,0.3228,0.3485,0.3286,jalar,0.0
0.0962,-0.7013,0.7119,0.3228,0.3485,0.3286,jalar,0.0
0.0973,-0.7,0.7109,0.3228,0.3485,0.3286,jalar,0.0
0.0966,-0.698,0.7063,0.3228,0.3485,0.3286,jalar,0.0
0.0989,-0.6993,0.7024,0.3228,0.3485,0.3286,jalar,0.0
0.098,-0.6962,0.7021,0.3228,0.3485,0.3286,jalar,0.0
0.0983,-0.6909,0.6956,0.3228,0.3485,0.3286,jalar,0.0
0.0962,-0.6892,0.6908,0.3228,0.3485,0.3286,jalar,0.0
0.0948,-0.6885,0.6877,0.3228,0.3485,0.3286,jalar,0.0
0.097,-0.6931,0.6835,0.3228,0.3485,0.3286,jalar,0.0
0.0935,-0.6969,0.6847,0.3228,0.3485,0.3286,jalar,0.0
0.0944,-0.6937,0.6884,0.3228,0.3485,0.3286,jalar,0.0
0.0966,-0.6859,0.6915,0.3228,0.3485,0.3286,jalar,0.0
0.1001,-0.6813,0.694,0.3228,0.3485,0.3286,jalar,0.0
0.0988,-0.6843,0.6962,0.3228,0.3485,0.3286,jalar,0.0
0.0984,-0.6874,0.6956,0.3228,0.3485,0.3286,jalar,0.0
0.0973,-0.6885,0.6951,0.3228,0.3485,0.3286,jalar,0.0
0.095,-0.6858,0.6935,0.3228,0.3485,0.3286,jalar,0.0
0.0956,-0.6794,0.6929,0.3228,0.3485,0.3286,jalar,0.0
0.0973,-0.6737,0.6921,0.3228,0.3485,0.3286,jalar,0.0
0.0947,-0.6742,0.6918,0.3228,0.3485,0.3286,jalar,0.0
0.088,-0.6697,0.6912,0.3228,0.3485,0.3286,jalar,0.0
0.0894,-0.6683,0.689,0.3228,0.3485,0.3286,jalar,0.0
0.0905,-0.6685,0.6874,0.3228,0.3485,0.3286,jalar,0.0
0.0861,-0.6686,0.6851,0.3228,0.3485,0.3286,jalar,0.0
0.0835,-0.666,0.6846,0.3228,0.3485,0.3286,jalar,0.0
0.0826,-0.6586,0.6842,0.3228,0.3485,0.3286,jalar,0.0
0.078,-0.6533,0.6849,0.3228,0.3485,0.3286,jalar,0.0
0.0729,-0.653,0.6837,0.3228,0.3485,0.3286,jalar,0.0
0.0714,-0.6544,0.6803,0.3228,0.3485,0.3286,jalar,0.0
0.0681,-0.6533,0.6781,0.3228,0.3485,0.3286,jalar,0.0
0.0637,-0.6515,0.6766,0.3228,0.3485,0.3286,jalar,0.0
0.0648,-0.6516,0.6722,0.3228,0.3485,0.3286,jalar,0.0
0.0636,-0.6591,0.6714,0.3228,0.3485,0.3286,jalar,0.0
0.0605,-0.6642,0.6688,0.3228,0.3485,0.3286,jalar,0.0
0.0608,-0.67,0.6689,0.3228,0.3485,0.3286,jalar,0.0
0.0621,-0.6735,0.6709,0.3228,0.3485,0.3286,jalar,0.0
0.0621,-0.6801,0.6783,0.3228,0.3485,0.3286,jalar,0.0
0.0592,-0.6807,0.6868,0.3228,0.3485,0.3286,jalar,0.0
0.0573,-0.6793,0.6995,0.3228,0.3485,0.3286,jalar,0.0
0.0576,-0.6782,0.713,0.3228,0.3485,0.3286,jalar,0.0
0.0566,-0.6772,0.7233,0.3228,0.3485,0.3286,jalar,0.0
0.057,-0.6804,0.7313,0.3228,0.3485,0.3286,jalar,0.0
0.0586,-0.6843,0.7391,0.3228,0.3485,0.3286,jalar,0.0
0.0615,-0.682,0.7456,0.3228,0.3485,0.3286,jalar,0.0
0.0667,-0.6763,0.7502,0.3228,0.3485,0.3286,jalar,0.0
0.0686,-0.6727,0.7537,0.3228,0.3485,0.3286,jalar,0.0
0.0773,-0.6725,0.7533,0.3228,0.3485,0.3286,jalar,0.0
0.0804,-0.6755,0.7537,0.3228,0.3485,0.3286,jalar,0.0
0.0835,-0.6733,0.7523,0.3228,0.3485,0.3286,jalar,0.0
0.0922,-0.6711,0.7482,0.3228,0.3485,0.3286,jalar,0.0
0.0999,-0.677,0.7429,0.3228,0.3485,0.3286,jalar,0.0
0.0991,-0.6804,0.7362,0.3228,0.3485,0.3286,jalar,0.0
0.1056,-0.6815,0.7266,0.3228,0.3485,0.3286,jalar,0.0
0.1106,-0.6844,0.7181,0.3228,0.3485,0.3286,jalar,0.0
0.1138,-0.6849,0.708,0.3228,0.3485,0.3286,jalar,0.0
0.115,-0.6853,0.6971,0.3228,0.3485,0.3286,jalar,0.0
0.1152,-0.6832,0.6906,0.3228,0.3485,0.3286,jalar,0.0
0.1179,-0.6837,0.6869,0.3228,0.3485,0.3286,jalar,0.0
0.1182,-0.6846,0.684,0.3228,0.3485,0.3286,jalar,0.0
0.1196,-0.6814,0.6837,0.3228,0.3485,0.3286,jalar,0.0
0.1216,-0.6813,0.6862,0.3228,0.3485,0.3286,jalar,0.0
0.1249,-0.6865,0.6914,0.3228,0.3485,0.3286,jalar,0.0
0.1229,-0.6904,0.6935,0.3228,0.3485,0.3286,jalar,0.0
0.1211,-0.6914,0.692,0.3228,0.3485,0.3286,jalar,0.0
0.1185,-0.6893,0.6892,0.3228,0.3485,0.3286,jalar,0.0
0.1154,-0.6848,0.6866,0.3228,0.3485,0.3286,jalar,0.0
0.1108,-0.682,0.6848,0.3228,0.3485,0.3286,jalar,0.0
0.1064,-0.6775,0.6812,0.3228,0.3485,0.3286,jalar,0.0
0.1003,-0.6758,0.6819,0.3228,0.3485,0.3286,jalar,0.0
0.0978,-0.677,0.6837,0.3228,0.3485,0.3286,jalar,0.0
0.0973,-0.6758,0.6859,0.3228,0.3485,0.3286,jalar,0.0
0.0972,-0.6755,0.6924,0.3228,0.3485,0.3286,jalar,0.0
0.0944,-0.6738,0.6987,0.3228,0.3485,0.3286,jalar,0.0
0.0906,-0.6714,0.7067,0.3228,0.3485,0.3286,jalar,0.0
0.0896,-0.6688,0.7113,0.3228,0.3485,0.3286,jalar,0.0
0.0865,-0.6682,0.7139,0.3228,0.3485,0.3286,jalar,0.0
0.0822,-0.6685,0.7146,0.3228,0.3485,0.3286,jalar,0.0
0.0809,-0.6663,0.7152,0.3228,0.3485,0.3286,jalar,0.0
0.0818,-0.6628,0.7177,0.3228,0.3485,0.3286,jalar,0.0
0.0811,-0.663,0.7186,0.3228,0.3485,0.3286,jalar,0.0
0.0797,-0.6628,0.7174,0.3228,0.3485,0.3286,jalar,0.0
0.0796,-0.6639,0.7139,0.3228,0.3485,0.3286,jalar,0.0
0.0789,-0.6669,0.7089,0.3228,0.3485,0.3286,jalar,0.0
0.079,-0.6639,0.703,0.3228,0.3485,0.3286,jalar,0.0
0.0806,-0.6654,0.6976,0.3228,0.3485,0.3286,jalar,0.0
0.0775,-0.6687,0.6937,0.3228,0.3485,0.3286,jalar,0.0
0.0793,-0.6711,0.6924,0.3228,0.3485,0.3286,jalar,0.0
0.0839,-0.6732,0.6936,0.3228,0.3485,0.3286,jalar,0.0
0.0845,-0.6711,0.6956,0.3228,0.3485,0.3286,jalar,0.0
0.0864,-0.6698,0.6987,0.3228,0.3485,0.3286,jalar,0.0
0.0876,-0.6693,0.7,0.3228,0.3485,0.3286,jalar,0.0
0.0837,-0.6669,0.6941,0.3228,0.3485,0.3286,jalar,0.0
0.08,-0.666,0.6854,0.3228,0.3485,0.3286,jalar,0.0
0.0768,-0.6654,0.677,0.3228,0.3485,0.3286,jalar,0.0
0.0715,-0.6661,0.6708,0.3228,0.3485,0.3286,jalar,0.0
0.0732,-0.667,0.6646,0.3228,0.3485,0.3286,jalar,0.0
0.0753,-0.6702,0.6592,0.3228,0.3485,0.3286,jalar,0.0
0.079,-0.6776,0.6606,0.3228,0.3485,0.3286,jalar,0.0
0.0786,-0.6805,0.6688,0.3228,0.3485,0.3286,jalar,0.0
0.0824,-0.6783,0.6852,0.3228,0.3485,0.3286,jalar,0.0
0.0854,-0.6742,0.7045,0.3228,0.3485,0.3286,jalar,0.0
0.0867,-0.6697,0.7213,0.3228,0.3485,0.3286,jalar,0.0
0.0925,-0.6649,0.735,0.3228,0.3485,0.3286,jalar,0.0
0.0878,-0.6652,0.7344,0.3228,0.3485,0.3286,jalar,0.0
0.0842,-0.6656,0.7402,0.3228,0.3485,0.3286,jalar,0.0
0.0952,-0.6549,0.7416,0.3228,0.3485,0.3286,jalar,0.0
0.0977,-0.6472,0.7429,0.3228,0.3485,0.3286,jalar,0.0
0.0942,-0.6536,0.7367,0.3228,0.3485,0.3286,jalar,0.0
0.0802,-0.6569,0.7412,0.3228,0.3485,0.3286,jalar,0.0
0.0977,-0.6555,0.7412,0.3228,0.3485,0.3286,jalar,0.0
0.0901,-0.67,0.7234,0.3228,0.3485,0.3286,jalar,0.0
0.0924,-0.6672,0.7227,0.3228,0.3485,0.3286,jalar,0.0
0.0953,-0.6606,0.7177,0.3228,0.3485,0.3286,jalar,0.0
0.1011,-0.6755,0.6984,0.3228,0.3485,0.3286,jalar,0.0
0.0967,-0.6934,0.6852,0.3228,0.3485,0.3286,jalar,0.0
0.0876,-0.6846,0.6924,0.3228,0.3485,0.3286,jalar,0.0
0.0933,-0.6844,0.6888,0.3228,0.3485,0.3286,jalar,0.0
0.0887,-0.6906,0.6906,0.3228,0.3485,0.3286,jalar,0.0
0.0831,-0.6898,0.6913,0.3228,0.3485,0.3286,jalar,0.0
0.0867,-0.6888,0.6913,0.3228,0.3485,0.3286,jalar,0.0
0.0889,-0.6887,0.6876,0.3228,0.3485,0.3286,jalar,0.0
0.0826,-0.6857,0.6831,0.3228,0.3485,0.3286,jalar,0.0
0.0809,-0.6869,0.6794,0.3228,0.3485,0.3286,jalar,0.0
0.0809,-0.6885,0.6772,0.3228,0.3485,0.3286,jalar,0.0
0.08,-0.6917,0.6814,0.3228,0.3485,0.3286,jalar,0.0
0.0841,-0.6912,0.6837,0.3228,0.3485,0.3286,jalar,0.0
0.0913,-0.6945,0.6857,0.3228,0.3485,0.3286,jalar,0.0
0.0935,-0.692,0.6875,0.3228,0.3485,0.3286,jalar,0.0
0.095,-0.6897,0.6858,0.3228,0.3485,0.3286,jalar,0.0
0.0947,-0.6888,0.6813,0.3228,0.3485,0.3286,jalar,0.0
