ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
0.1541,-0.6838,0.6774,0.3228,0.3485,0.3286,jalar,0.0
0.1544,-0.6844,0.6812,0.3228,0.3485,0.3286,jalar,0.0
0.157,-0.6846,0.6788,0.3228,0.3485,0.3286,jalar,0.0
0.1553,-0.684,0.6783,0.3228,0.3485,0.3286,jalar,0.0
0.1555,-0.6838,0.6781,0.3228,0.3485,0.3286,jalar,0.0
0.1544,-0.6842,0.6738,0.3228,0.3485,0.3286,jalar,0.0
0.153,-0.6824,0.6722,0.3228,0.3485,0.3286,jalar,0.0
0.1548,-0.6804,0.6721,0.3228,0.3485,0.3286,jalar,0.0
0.1547,-0.6788,0.6697,0.3228,0.3485,0.3286,jalar,0.0
0.156,-0.6781,0.6674,0.3228,0.3485,0.3286,jalar,0.0
0.1536,-0.6753,0.6666,0.3228,0.3485,0.3286,jalar,0.0
0.1521,-0.67,0.6611,0.3228,0.3485,0.3286,jalar,0.0
0.149,-0.6709,0.6577,0.3228,0.3485,0.3286,jalar,0.0
0.1505,-0.6722,0.6555,0.3228,0.3485,0.3286,jalar,0.0
0.1538,-0.6704,0.6549,0.3228,0.3485,0.3286,jalar,0.0
0.1541,-0.6699,0.6584,0.3228,0.3485,0.3286,jalar,0.0
0.1554,-0.6697,0.6622,0.3228,0.3485,0.3286,jalar,0.0
0.156,-0.6742,0.6664,0.3228,0.3485,0.3286,jalar,0.0
0.1559,-0.6753,0.6737,0.3228,0.3485,0.3286,jalar,0.0
0.1593,-0.6714,0.6782,0.3228,0.3485,0.3286,jalar,0.0
0.1597,-0.6737,0.6809,0.3228,0.3485,0.3286,jalar,0.0
0.1611,-0.6798,0.6858,0.3228,0.3485,0.3286,jalar,0.0
0.1644,-0.6855,0.688,0.3228,0.3485,0.3286,jalar,0.0
0.1635,-0.6871,0.6853,0.3228,0.3485,0.3286,jalar,0.0
0.1614,-0.6868,0.6812,0.3228,0.3485,0.3286,jalar,0.0
0.1614,-0.6881,0.6779,0.3228,0.3485,0.3286,jalar,0.0
0.1626,-0.6884,0.6793,0.3228,0.3485,0.3286,jalar,0.0
0.1632,-0.6865,0.6852,0.3228,0.3485,0.3286,jalar,0.0
0.1656,-0.6913,0.6907,0.3228,0.3485,0.3286,jalar,0.0
0.1693,-0.6934,0.6942,0.3228,0.3485,0.3286,jalar,0.0
0.1677,-0.6943,0.6956,0.3228,0.3485,0.3286,jalar,0.0
0.1697,-0.6949,0.6949,0.3228,0.3485,0.3286,jalar,0.0
0.1707,-0.6951,0.691,0.3228,0.3485,0.3286,jalar,0.0
0.1669,-0.6921,0.6824,0.3228,0.3485,0.3286,jalar,0.0
0.1626,-0.6858,0.6722,0.3228,0.3485,0.3286,jalar,0.0
0.1636,-0.6826,0.6661,0.3228,0.3485,0.3286,jalar,0.0
0.1591,-0.6793,0.6605,0.3228,0.3485,0.3286,jalar,0.0
0.1597,-0.6752,0.6564,0.3228,0.3485,0.3286,jalar,0.0
0.1597,-0.6757,0.6552,0.3228,0.3485,0.3286,jalar,0.0
0.1599,-0.6768,0.6573,0.3228,0.3485,0.3286,jalar,0.0
0.1615,-0.682,0.6615,0.3228,0.3485,0.3286,jalar,0.0
0.1611,-0.6837,0.6665,0.3228,0.3485,0.3286,jalar,0.0
0.162,-0.6835,0.6642,0.3228,0.3485,0.3286,jalar,0.0
0.1652,-0.6809,0.6678,0.3228,0.3485,0.3286,jalar,0.0
0.167,-0.6863,0.6722,0.3228,0.3485,0.3286,jalar,0.0
0.1653,-0.6887,0.6799,0.3228,0.3485,0.3286,jalar,0.0
0.1683,-0.6843,0.6829,0.3228,0.3485,0.3286,jalar,0.0
0.1688,-0.6837,0.683,0.3228,0.3485,0.3286,jalar,0.0
0.1703,-0.6851,0.6841,0.3228,0.3485,0.3286,jalar,0.0
0.1718,-0.6892,0.6887,0.3228,0.3485,0.3286,jalar,0.0
0.1729,-0.6885,0.6881,0.3228,0.3485,0.3286,jalar,0.0
0.1708,-0.6869,0.6855,0.3228,0.3485,0.3286,jalar,0.0
