ax,ay,az
0.41,-0.15,1.07
0.41,-0.2,1.05
0.3,-0.29,0.98
0.25,-0.31,0.93
0.12,-0.31,0.83
0.06,-0.31,0.81
0.01,-0.28,0.81
0.02,-0.27,0.85
0.04,-0.24,0.93
0.03,-0.23,0.94
0.02,-0.23,0.98
0.03,-0.23,1.0
0.05,-0.22,1.02
0.06,-0.22,1.01
0.1,-0.22,1.0
0.11,-0.22,0.98
0.1,-0.22,0.97
0.11,-0.21,0.96
0.11,-0.2,0.93
0.11,-0.2,0.92
0.1,-0.19,0.92
0.11,-0.19,0.93
0.09,-0.18,0.95
0.09,-0.19,0.94
0.08,-0.17,0.91
0.07,-0.17,0.9
0.06,-0.18,0.89
0.05,-0.18,0.88
0.05,-0.21,0.9
0.05,-0.22,0.92
0.05,-0.23,0.94
0.06,-0.23,0.95
0.07,-0.24,0.97
0.08,-0.23,0.99
0.09,-0.24,0.99
0.1,-0.24,0.99
0.1,-0.24,0.97
0.1,-0.24,0.95
0.11,-0.23,0.95
0.12,-0.23,0.93
0.12,-0.24,0.93
0.13,-0.24,0.94
0.13,-0.23,0.94
0.12,-0.23,0.95
0.11,-0.23,0.95
0.11,-0.25,0.95
0.08,-0.25,0.94
-0.0,-0.19,0.9
-0.04,-0.12,0.89
-0.34,-0.09,0.79
-0.64,-0.14,0.7
-1.45,-0.53,0.68
-1.69,-0.75,0.8
-1.23,-0.71,1.14
-0.76,-0.66,1.32
0.14,-0.55,1.35
0.73,-0.51,1.26
2.03,-0.39,0.98
2.15,-0.17,1.1
2.35,0.53,1.86
2.83,0.71,1.97
2.89,0.5,1.31
1.67,0.15,0.94
1.0,-0.26,0.54
-0.3,-0.78,-0.13
-0.92,-0.88,-0.11
-1.47,-0.69,0.31
-1.34,-0.45,0.52
-1.16,0.11,0.7
-1.09,0.22,0.8
-0.83,0.25,0.84
-0.66,0.17,0.87
-0.33,-0.08,0.93
-0.17,-0.17,1.0
0.12,-0.25,1.08
0.26,-0.24,1.06
0.39,-0.19,0.94
0.37,-0.2,0.91
0.28,-0.26,0.86
0.18,-0.3,0.84
0.05,-0.34,0.91
0.03,-0.3,0.94
0.02,-0.26,1.0
-0.01,-0.25,1.01
-0.03,-0.23,1.0
-0.03,-0.23,0.99
-0.06,-0.26,0.99
-0.07,-0.27,0.99
-0.07,-0.25,0.99
-0.05,-0.25,1.0
-0.02,-0.21,0.99
-0.01,-0.21,0.99
0.01,-0.19,0.98
0.01,-0.19,0.97
0.01,-0.18,0.95
0.0,-0.19,0.94
-0.01,-0.19,0.92
-0.02,-0.19,0.91
-0.02,-0.2,0.92
-0.01,-0.21,0.93
