ax,ay,az
0.93,-0.49,0.61
0.91,-0.52,0.6
0.89,-0.6,0.62
0.86,-0.69,0.67
0.8,-0.85,0.66
0.72,-0.91,0.64
0.61,-0.98,0.5
0.55,-1.0,0.42
0.42,-1.0,0.33
0.36,-1.0,0.33
0.26,-1.06,0.39
0.24,-1.09,0.42
0.15,-1.09,0.38
0.15,-1.08,0.27
0.12,-1.03,0.15
0.08,-1.06,0.04
0.08,-1.1,-0.14
0.08,-1.11,-0.21
0.1,-1.1,-0.23
0.11,-1.04,-0.21
0.12,-1.0,-0.2
0.16,-0.93,-0.18
0.19,-0.9,-0.2
-0.49,-0.94,-0.03
-0.46,-1.03,-0.06
-0.45,-1.05,-0.08
-0.44,-1.08,-0.09
-0.42,-1.05,-0.11
-0.38,-0.98,-0.12
-0.35,-0.95,-0.11
-0.3,-0.94,-0.06
-0.28,-0.94,-0.04
-0.25,-0.96,0.06
-0.25,-0.95,0.11
-0.26,-0.9,0.16
-0.26,-0.87,0.21
-0.27,-0.8,0.32
-0.28,-0.77,0.38
-0.3,-0.72,0.48
-0.31,-0.69,0.51
-0.33,-0.69,0.62
0.95,0.16,0.07
0.96,0.17,0.07
0.95,0.17,0.07
0.94,0.18,0.06
0.94,0.2,0.06
0.92,0.2,0.07
0.93,0.2,0.07
0.94,0.2,0.08
0.94,0.2,0.07
0.94,0.19,0.07
0.94,0.19,0.07
0.93,0.2,0.05
0.93,0.2,0.05
0.93,0.21,0.04
0.94,0.21,0.04
0.94,0.21,0.05
0.96,0.2,0.06
0.97,0.19,0.07
0.97,0.19,0.08
0.97,0.19,0.08
0.96,0.18,0.07
0.96,0.19,0.06
0.95,0.21,0.05
0.94,0.2,0.06
0.95,0.18,0.09
0.96,0.18,0.1
0.98,0.2,0.08
1.01,0.22,0.04
1.2,0.31,-0.06
1.49,0.38,-0.09
2.55,0.66,-0.06
3.15,0.75,0.05
-0.05,-0.97,0.11
-0.03,-0.97,0.14
0.04,-0.98,0.16
0.34,-1.0,0.17
0.67,-1.03,0.14
2.15,-1.11,0.03
3.32,-1.32,-0.03
4.0,-2.38,-0.1
4.0,-2.81,-0.31
4.0,-0.35,-1.79
4.0,-0.39,-2.32
3.79,-0.66,-1.76
2.9,-0.63,-1.04
0.05,-0.18,0.0
-1.54,0.26,0.44
-3.69,0.47,0.76
-3.65,0.5,0.27
-2.99,0.12,-1.03
-2.74,-0.4,-1.32
-2.28,-1.08,-1.16
-2.03,-1.18,-0.97
-1.79,-0.95,-0.71
-1.52,-0.65,-0.75
-0.69,0.04,-1.04
-0.25,0.36,-1.25
0.11,0.62,-1.24
0.1,0.57,-1.14
