ax,ay,az
-0.28,0.0,0.27
0.8,0.13,-0.03
0.81,0.11,-0.02
0.86,0.13,0.01
0.89,0.15,0.01
0.92,0.16,0.03
0.93,0.17,0.05
0.97,0.19,0.08
0.99,0.21,0.09
1.01,0.21,0.1
1.0,0.21,0.1
0.99,0.21,0.11
0.99,0.2,0.11
0.97,0.21,0.09
0.96,0.19,0.08
0.96,0.16,0.08
0.95,0.16,0.08
0.95,0.16,0.07
0.94,0.15,0.07
0.92,0.17,0.05
0.92,0.17,0.04
0.92,0.17,0.04
0.93,0.17,0.04
0.94,0.17,0.05
0.96,0.18,0.04
0.95,0.18,0.05
0.96,0.18,0.06
0.96,0.19,0.05
0.93,0.19,0.03
0.92,0.18,0.04
0.93,0.18,0.04
0.93,0.18,0.05
0.92,0.17,0.06
0.92,0.17,0.06
0.93,0.17,0.07
0.93,0.17,0.08
0.95,0.19,0.06
0.96,0.19,0.05
0.96,0.16,0.05
0.96,0.17,0.05
0.96,0.16,0.06
0.95,0.16,0.07
0.96,0.17,0.07
0.95,0.17,0.07
0.94,0.18,0.06
0.94,0.2,0.06
0.92,0.2,0.07
0.93,0.2,0.07
0.94,0.2,0.08
0.94,0.2,0.07
0.94,0.19,0.07
0.94,0.19,0.07
0.93,0.2,0.05
0.93,0.2,0.05
0.93,0.21,0.04
0.94,0.21,0.04
0.94,0.21,0.05
0.8,-0.56,0.11
0.81,-0.56,0.1
0.82,-0.55,0.1
0.84,-0.55,0.1
0.84,-0.56,0.11
0.84,-0.6,0.13
0.84,-0.61,0.12
0.83,-0.61,0.12
0.83,-0.59,0.14
0.82,-0.58,0.17
0.81,-0.58,0.2
0.81,-0.58,0.24
0.81,-0.56,0.22
0.82,-0.55,0.2
0.84,-0.55,0.17
0.84,-0.55,0.16
0.84,-0.56,0.16
0.83,-0.55,0.16
0.83,-0.54,0.18
0.85,-0.55,0.18
0.87,-0.55,0.19
0.91,-0.56,0.2
1.1,-0.64,0.23
1.23,-0.7,0.24
1.82,-0.97,0.28
2.12,-1.17,0.32
2.55,-1.49,0.47
2.64,-1.53,0.47
3.1,-1.35,0.4
3.15,-1.21,0.42
2.85,-0.81,0.28
2.65,-0.64,0.14
1.9,-0.17,-0.17
1.57,0.08,-0.18
0.57,0.27,0.4
-0.21,0.37,0.63
-1.99,0.58,0.44
-2.48,0.53,0.27
-2.01,-0.21,0.3
-1.56,-0.47,0.33
-1.21,-0.89,-0.0
-0.63,-0.9,-0.1
-0.5,-0.79,0.1
