ax,ay,az
0.64,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.37
0.65,0.64,-0.37
0.65,0.64,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.39
0.65,0.65,-0.38
0.65,0.65,-0.38
0.66,0.66,-0.38
0.65,0.65,-0.38
0.65,0.65,-0.37
0.65,0.66,-0.37
0.64,0.64,-0.37
0.64,0.64,-0.37
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.65,-0.38
0.64,0.65,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.38
0.64,0.65,-0.38
0.64,0.65,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.37
0.65,0.65,-0.37
0.66,0.65,-0.38
0.66,0.64,-0.38
0.65,0.64,-0.38
0.64,0.66,-0.38
0.64,0.65,-0.37
0.63,0.64,-0.37
0.63,0.64,-0.38
0.64,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.65,-0.38
0.65,0.64,-0.38
0.65,0.65,-0.37
0.64,0.66,-0.37
0.64,0.65,-0.37
0.64,0.66,-0.37
0.64,0.64,-0.37
0.64,0.64,-0.36
0.64,0.64,-0.36
0.65,0.65,-0.37
0.66,0.64,-0.38
0.66,0.64,-0.37
0.64,0.64,-0.37
0.63,0.65,-0.38
0.63,0.64,-0.37
0.64,0.65,-0.37
0.64,0.65,-0.37
0.65,0.64,-0.37
0.65,0.64,-0.37
0.65,0.65,-0.38
0.64,0.64,-0.38
0.64,0.64,-0.37
0.64,0.64,-0.37
0.65,0.64,-0.37
0.65,0.65,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.66,0.64,-0.38
0.66,0.65,-0.38
0.65,0.65,-0.37
0.65,0.65,-0.37
0.64,0.64,-0.36
0.64,0.65,-0.37
0.65,0.64,-0.37
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.37
0.65,0.64,-0.37
0.64,0.64,-0.37
0.64,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.37
0.65,0.63,-0.4
0.65,0.64,-0.37
0.65,0.64,-0.37
0.66,0.64,-0.38
0.66,0.65,-0.38
0.65,0.64,-0.38
0.65,0.64,-0.37
0.65,0.64,-0.37
0.65,0.63,-0.37
0.65,0.63,-0.37
0.66,0.64,-0.37
0.66,0.65,-0.37
0.65,0.65,-0.37
0.65,0.64,-0.38
