ax,ay,az
0.91,0.28,-0.19
0.91,0.28,-0.2
0.91,0.28,-0.21
0.91,0.28,-0.2
0.92,0.28,-0.2
0.91,0.29,-0.21
0.91,0.29,-0.2
0.92,0.28,-0.19
0.92,0.26,-0.18
0.92,0.25,-0.19
0.92,0.26,-0.2
0.92,0.29,-0.18
0.92,0.3,-0.18
0.91,0.31,-0.18
0.92,0.3,-0.18
0.92,0.27,-0.17
0.92,0.26,-0.16
0.92,0.27,-0.18
0.92,0.28,-0.18
0.92,0.29,-0.19
0.92,0.29,-0.19
0.91,0.29,-0.21
0.91,0.29,-0.22
0.91,0.26,-0.2
0.91,0.26,-0.2
0.92,0.26,-0.19
0.92,0.26,-0.18
0.92,0.28,-0.18
0.92,0.29,-0.19
0.92,0.3,-0.18
0.92,0.29,-0.18
0.92,0.26,-0.18
0.92,0.25,-0.18
0.92,0.24,-0.19
0.92,0.25,-0.2
0.91,0.26,-0.2
0.92,0.26,-0.2
0.92,0.26,-0.19
0.92,0.29,-0.18
0.92,0.3,-0.16
0.93,0.32,-0.14
0.92,0.33,-0.13
0.92,0.3,-0.14
0.92,0.27,-0.16
0.92,0.25,-0.2
0.92,0.24,-0.22
0.91,0.23,-0.23
0.91,0.24,-0.22
0.91,0.26,-0.2
0.92,0.25,-0.19
0.92,0.22,-0.14
0.93,0.23,-0.13
0.92,0.29,-0.12
0.93,0.32,-0.13
0.93,0.33,-0.13
0.93,0.34,-0.14
0.93,0.34,-0.14
0.93,0.32,-0.15
0.93,0.28,-0.16
0.93,0.25,-0.16
0.93,0.22,-0.16
0.93,0.21,-0.17
0.92,0.22,-0.17
0.93,0.23,-0.18
0.93,0.27,-0.17
0.93,0.27,-0.16
0.93,0.28,-0.16
0.93,0.27,-0.16
0.93,0.27,-0.16
0.93,0.24,-0.16
0.93,0.23,-0.16
0.92,0.24,-0.18
0.92,0.26,-0.19
0.92,0.29,-0.19
0.92,0.3,-0.18
0.92,0.26,-0.17
0.92,0.25,-0.18
0.92,0.25,-0.17
0.92,0.25,-0.16
0.93,0.24,-0.14
0.92,0.25,-0.15
0.92,0.26,-0.18
0.92,0.26,-0.2
0.92,0.26,-0.2
0.92,0.25,-0.19
0.92,0.24,-0.16
0.92,0.24,-0.16
0.92,0.25,-0.16
0.92,0.26,-0.16
0.93,0.28,-0.15
0.93,0.28,-0.15
0.93,0.3,-0.15
0.93,0.3,-0.16
0.93,0.27,-0.15
0.93,0.25,-0.15
0.93,0.24,-0.17
0.93,0.25,-0.17
0.93,0.26,-0.16
0.93,0.27,-0.16
0.93,0.26,-0.16
