ax,ay,az
-0.89,0.5,-0.11
-0.89,0.5,-0.12
-0.89,0.49,-0.11
-0.89,0.49,-0.12
-0.89,0.5,-0.12
-0.89,0.5,-0.1
-0.9,0.5,-0.12
-0.89,0.49,-0.1
-0.9,0.5,-0.13
-0.89,0.49,-0.1
-0.89,0.49,-0.11
-0.89,0.49,-0.11
-0.9,0.5,-0.11
-0.89,0.49,-0.09
-0.89,0.49,-0.1
-0.89,0.48,-0.08
-0.89,0.49,-0.11
-0.9,0.49,-0.09
-0.9,0.49,-0.1
-0.9,0.49,-0.09
-0.9,0.49,-0.09
-0.9,0.5,-0.09
-0.9,0.5,-0.09
-0.91,0.49,-0.1
-0.89,0.5,-0.09
-0.9,0.5,-0.08
-0.9,0.49,-0.07
-0.91,0.5,-0.07
-0.9,0.5,-0.08
-0.9,0.5,-0.11
-0.88,0.52,-0.09
-0.9,0.51,-0.04
-0.89,0.52,-0.03
-0.89,0.51,-0.04
-0.89,0.51,-0.01
-0.88,0.51,0.0
-0.88,0.51,0.0
-0.88,0.52,0.0
-0.88,0.52,0.02
-0.87,0.52,0.05
-0.88,0.52,0.05
-0.87,0.53,0.03
-0.87,0.53,0.06
-0.87,0.52,0.1
-0.88,0.51,0.14
-0.86,0.51,0.12
-0.86,0.53,0.09
-0.86,0.51,0.12
-0.87,0.5,0.21
-0.86,0.49,0.23
-0.85,0.49,0.23
-0.85,0.5,0.21
-0.86,0.5,0.21
-0.86,0.49,0.24
-0.85,0.49,0.24
-0.84,0.49,0.22
-0.86,0.44,0.27
-0.88,0.45,0.34
-0.86,0.43,0.37
-0.85,0.43,0.33
-0.86,0.45,0.26
-0.85,0.43,0.3
-0.87,0.42,0.38
-0.87,0.4,0.42
-0.86,0.41,0.34
-0.86,0.42,0.29
-0.87,0.41,0.28
-0.87,0.37,0.39
-0.88,0.36,0.47
-0.86,0.37,0.39
-0.87,0.39,0.33
-0.87,0.39,0.32
-0.87,0.37,0.36
-0.88,0.36,0.4
-0.87,0.35,0.42
-0.86,0.36,0.39
-0.87,0.37,0.34
-0.87,0.36,0.37
-0.87,0.34,0.42
-0.88,0.33,0.44
-0.88,0.35,0.4
-0.87,0.35,0.38
-0.87,0.34,0.39
-0.87,0.33,0.4
-0.88,0.33,0.42
-0.87,0.34,0.4
-0.87,0.34,0.38
-0.87,0.34,0.38
-0.88,0.34,0.39
-0.87,0.34,0.39
-0.88,0.34,0.39
-0.87,0.34,0.39
-0.87,0.34,0.39
-0.88,0.34,0.39
-0.88,0.34,0.4
-0.88,0.34,0.4
-0.87,0.34,0.38
-0.88,0.34,0.39
-0.88,0.34,0.39
-0.88,0.34,0.39
-0.89,0.34,0.39
-0.87,0.32,0.41
-0.87,0.34,0.39
-0.87,0.34,0.39
-0.87,0.34,0.41
-0.88,0.33,0.41
-0.88,0.34,0.38
-0.88,0.34,0.37
-0.87,0.34,0.39
-0.88,0.35,0.38
-0.88,0.35,0.38
-0.87,0.34,0.39
-0.87,0.34,0.4
-0.88,0.34,0.39
-0.88,0.35,0.38
-0.88,0.35,0.38
-0.87,0.34,0.4
-0.88,0.33,0.4
-0.87,0.34,0.39
-0.88,0.34,0.38
-0.88,0.34,0.38
-0.88,0.34,0.39
-0.88,0.34,0.4
-0.87,0.34,0.4
-0.88,0.34,0.39
-0.88,0.34,0.38
-0.88,0.35,0.39
-0.87,0.34,0.39
-0.87,0.35,0.39
-0.87,0.35,0.38
-0.88,0.35,0.38
-0.87,0.35,0.38
-0.88,0.35,0.39
-0.87,0.34,0.4
-0.87,0.35,0.39
-0.87,0.35,0.38
-0.88,0.35,0.38
-0.88,0.35,0.38
-0.88,0.35,0.39
-0.88,0.35,0.38
-0.88,0.35,0.39
-0.87,0.35,0.39
-0.88,0.35,0.38
-0.88,0.35,0.39
-0.87,0.35,0.39
-0.87,0.35,0.38
-0.88,0.35,0.39
-0.88,0.35,0.39
-0.88,0.35,0.39
-0.87,0.35,0.39
