ax,ay,az
0.14,0.28,0.83
0.04,0.31,0.88
0.02,0.32,0.9
-0.01,0.37,0.93
-0.01,0.4,0.94
-0.02,0.42,0.97
-0.01,0.41,1.0
-0.03,0.4,1.0
-0.06,0.39,1.0
-0.09,0.38,1.0
-0.09,0.36,1.01
-0.11,0.3,1.02
-0.12,0.26,1.01
-0.11,0.24,0.99
-0.11,0.21,0.98
-0.11,0.2,0.97
-0.09,0.19,0.95
-0.08,0.19,0.93
-0.1,0.16,0.91
-0.1,0.14,0.91
-0.09,0.1,0.93
-0.09,0.1,0.94
-0.11,0.11,0.95
-0.12,0.13,0.95
-0.12,0.16,0.94
-0.11,0.16,0.94
-0.1,0.16,0.93
-0.1,0.16,0.94
-0.13,0.14,0.97
-0.13,0.14,0.99
-0.13,0.15,1.01
-0.14,0.17,1.0
-0.15,0.19,0.99
-0.14,0.2,0.98
-0.12,0.21,0.97
-0.12,0.21,0.96
-0.12,0.2,0.96
-0.12,0.2,0.95
-0.11,0.18,0.96
-0.11,0.18,0.96
-0.1,0.18,0.95
-0.1,0.18,0.95
-0.11,0.19,0.94
-0.11,0.19,0.94
-0.11,0.19,0.94
-0.12,0.19,0.94
-0.11,0.18,0.94
-0.12,0.15,0.95
-0.11,0.13,0.97
-0.13,0.11,0.97
-0.13,0.12,0.98
-0.14,0.15,0.97
-0.14,0.16,0.96
-0.12,0.15,0.96
-0.13,0.15,0.97
-0.13,0.16,0.96
-0.12,0.17,0.96
-0.13,0.18,0.96
-0.13,0.18,0.95
-0.13,0.19,0.96
-0.13,0.19,0.96
-0.11,0.17,0.96
-0.11,0.17,0.95
-0.12,0.16,0.94
-0.11,0.16,0.94
-0.11,0.16,0.95
-0.12,0.16,0.95
-0.13,0.17,0.96
-0.14,0.17,0.96
-0.13,0.16,0.97
-0.12,0.15,0.97
-0.12,0.15,0.96
-0.12,0.15,0.95
-0.12,0.17,0.94
-0.11,0.17,0.95
-0.11,0.17,0.96
-0.13,0.18,0.95
-0.12,0.18,0.95
-0.11,0.16,0.95
-0.11,0.15,0.96
-0.12,0.18,0.95
-0.12,0.19,0.94
-0.11,0.19,0.94
-0.12,0.17,0.96
-0.14,0.17,0.97
-0.13,0.16,0.96
-0.13,0.17,0.95
-0.12,0.16,0.95
-0.11,0.15,0.97
-0.13,0.16,0.97
-0.14,0.17,0.95
-0.13,0.17,0.95
-0.12,0.17,0.96
-0.13,0.17,0.95
-0.13,0.17,0.94
-0.12,0.16,0.94
-0.1,0.15,0.95
-0.11,0.15,0.95
-0.13,0.15,0.96
-0.13,0.15,0.96
