ax,ay,az
0.29,-0.89,0.18
0.31,-0.92,0.2
0.34,-0.94,0.23
0.35,-0.96,0.24
0.34,-0.94,0.23
0.35,-0.94,0.2
0.3,-0.9,0.18
0.29,-0.88,0.15
0.3,-0.87,0.12
0.29,-0.87,0.12
0.28,-0.87,0.13
0.3,-0.86,0.15
0.32,-0.86,0.16
0.32,-0.87,0.17
0.34,-0.92,0.17
0.34,-0.93,0.18
0.33,-0.94,0.18
0.33,-0.93,0.17
0.33,-0.94,0.16
0.31,-0.94,0.15
0.3,-0.93,0.14
0.3,-0.92,0.14
0.3,-0.92,0.14
0.3,-0.92,0.14
0.31,-0.93,0.15
0.33,-0.94,0.15
0.34,-0.94,0.15
0.34,-0.94,0.15
0.33,-0.94,0.14
0.33,-0.94,0.13
0.33,-0.93,0.13
0.32,-0.91,0.12
0.31,-0.9,0.11
0.31,-0.9,0.11
0.3,-0.9,0.1
0.31,-0.91,0.12
0.32,-0.92,0.13
0.33,-0.93,0.15
0.33,-0.93,0.15
0.32,-0.94,0.14
0.32,-0.93,0.13
0.31,-0.92,0.13
0.32,-0.92,0.14
0.32,-0.93,0.13
0.32,-0.93,0.13
0.33,-0.94,0.13
0.33,-0.94,0.14
0.33,-0.93,0.14
0.33,-0.92,0.13
0.33,-0.92,0.12
0.33,-0.91,0.12
0.32,-0.9,0.11
0.32,-0.9,0.11
0.33,-0.91,0.09
0.34,-0.93,0.08
0.36,-1.3,0.18
0.57,-1.72,0.26
0.8,-2.32,0.39
1.86,-2.85,0.43
2.38,-2.9,-0.56
1.98,-1.84,-2.81
0.98,-0.8,-3.11
-3.99,3.88,-3.15
-3.3,4.0,-2.47
0.39,1.36,-0.45
1.55,0.08,0.3
1.89,-2.49,1.04
1.48,-3.0,1.27
1.04,-2.39,1.3
1.1,-2.1,0.98
0.85,-1.32,0.41
0.56,-1.01,0.17
0.03,-0.44,-0.07
-0.18,-0.28,-0.12
-0.27,-0.25,-0.0
-0.17,-0.37,0.13
0.09,-0.64,0.31
0.23,-0.77,0.39
0.41,-1.01,0.55
0.44,-1.08,0.64
0.42,-1.09,0.66
0.41,-1.04,0.59
0.31,-0.92,0.49
0.24,-0.83,0.43
0.26,-0.73,0.33
0.26,-0.72,0.36
0.23,-0.77,0.43
0.27,-0.79,0.45
0.31,-0.8,0.48
0.37,-0.83,0.5
0.38,-0.84,0.49
0.35,-0.86,0.46
0.33,-0.86,0.44
0.31,-0.84,0.38
0.32,-0.83,0.36
0.3,-0.8,0.34
0.3,-0.8,0.34
0.3,-0.77,0.35
0.3,-0.77,0.35
0.3,-0.78,0.35
