ax,ay,az
-0.11,-0.86,0.48
-0.11,-0.86,0.48
-0.12,-0.85,0.49
-0.12,-0.84,0.49
-0.13,-0.84,0.5
-0.13,-0.84,0.5
-0.13,-0.84,0.51
-0.13,-0.84,0.5
-0.12,-0.85,0.49
-0.12,-0.86,0.48
-0.12,-0.87,0.47
-0.12,-0.86,0.46
-0.12,-0.86,0.47
-0.12,-0.85,0.47
-0.12,-0.85,0.48
-0.12,-0.84,0.49
-0.11,-0.83,0.49
-0.11,-0.84,0.49
-0.11,-0.84,0.5
-0.11,-0.84,0.5
-0.11,-0.84,0.5
-0.11,-0.85,0.5
-0.12,-0.87,0.49
-0.12,-0.87,0.5
-0.12,-0.87,0.49
-0.12,-0.87,0.48
-0.12,-0.87,0.48
-0.12,-0.86,0.48
-0.13,-0.86,0.48
-0.12,-0.85,0.48
-0.12,-0.85,0.49
-0.12,-0.84,0.49
-0.12,-0.84,0.49
-0.13,-0.85,0.48
-0.13,-0.85,0.48
-0.13,-0.86,0.47
-0.13,-0.86,0.47
-0.12,-0.85,0.45
-0.12,-0.83,0.47
-0.12,-0.84,0.44
-0.13,-0.88,0.43
-0.13,-0.89,0.5
-0.13,-0.86,0.54
-0.11,-0.76,0.58
-0.1,-0.73,0.59
-0.09,-0.71,0.58
-0.09,-0.73,0.57
-0.1,-0.79,0.54
-0.09,-0.81,0.53
-0.1,-0.85,0.56
-0.1,-0.85,0.57
-0.1,-0.83,0.59
-0.1,-0.81,0.6
-0.1,-0.78,0.6
-0.1,-0.78,0.58
-0.1,-0.8,0.56
-0.1,-0.81,0.56
-0.1,-0.81,0.57
-0.1,-0.81,0.59
-0.1,-0.8,0.59
-0.1,-0.8,0.58
-0.1,-0.8,0.57
-0.11,-0.8,0.56
-0.11,-0.8,0.56
-0.11,-0.8,0.55
-0.11,-0.79,0.56
-0.11,-0.8,0.56
-0.11,-0.8,0.56
-0.11,-0.8,0.55
-0.11,-0.8,0.55
-0.11,-0.82,0.54
-0.11,-0.83,0.54
-0.12,-0.84,0.56
-0.12,-0.84,0.56
-0.12,-0.85,0.54
-0.13,-0.84,0.55
-0.13,-0.82,0.54
-0.13,-0.8,0.53
-0.09,-0.6,0.58
-0.06,-0.41,0.62
-0.11,-0.41,0.57
-0.15,-0.47,0.58
-0.08,-0.39,0.85
-0.03,-0.33,1.16
0.1,-0.16,1.11
0.18,-0.08,0.93
0.15,0.1,0.9
0.04,0.11,0.97
0.04,-0.01,0.95
-0.06,-0.44,0.95
-0.03,-0.61,1.01
0.01,-0.77,0.98
0.03,-0.75,0.99
0.06,-0.54,0.94
0.06,-0.39,0.92
0.01,-0.29,0.93
-0.0,-0.33,0.92
0.0,-0.37,0.89
0.0,-0.37,0.91
0.0,-0.33,0.95
