ax,ay,az
0.02,-0.86,0.48
0.01,-0.87,0.47
0.01,-0.89,0.46
0.01,-0.93,0.45
0.01,-0.95,0.44
0.0,-0.97,0.42
-0.0,-0.97,0.4
-0.0,-0.96,0.36
-0.01,-0.96,0.35
-0.01,-0.96,0.32
-0.01,-0.96,0.31
-0.01,-0.99,0.27
-0.01,-1.01,0.26
-0.02,-1.02,0.24
-0.03,-1.01,0.27
-0.04,-0.97,0.32
-0.04,-0.94,0.35
-0.04,-0.91,0.4
-0.03,-0.9,0.42
-0.03,-0.9,0.43
-0.03,-0.9,0.42
-0.04,-0.91,0.41
-0.05,-0.91,0.41
-0.05,-0.9,0.41
-0.05,-0.89,0.41
-0.04,-0.89,0.4
-0.05,-0.9,0.37
-0.06,-0.9,0.37
-0.06,-0.91,0.37
-0.07,-0.92,0.36
-0.07,-0.94,0.33
-0.08,-0.93,0.34
-0.08,-0.93,0.36
-0.08,-0.92,0.36
-0.09,-0.91,0.35
-0.09,-0.91,0.35
-0.1,-0.91,0.35
-0.1,-0.91,0.34
-0.1,-0.9,0.34
-0.11,-0.9,0.34
-0.11,-0.89,0.35
-0.11,-0.89,0.34
-0.12,-0.9,0.33
-0.12,-0.9,0.32
-0.13,-0.91,0.3
-0.13,-0.92,0.3
-0.13,-0.9,0.31
-0.14,-0.9,0.32
-0.14,-0.88,0.33
-0.14,-0.87,0.35
-0.14,-0.86,0.36
-0.14,-0.87,0.36
-0.14,-0.87,0.36
-0.14,-0.88,0.39
-0.14,-0.88,0.39
-0.14,-0.88,0.41
-0.14,-0.88,0.42
-0.14,-0.89,0.42
-0.14,-0.89,0.41
-0.15,-0.91,0.38
-0.15,-0.91,0.36
-0.16,-0.92,0.34
-0.16,-0.92,0.33
-0.16,-0.91,0.31
-0.16,-0.91,0.3
-0.17,-0.91,0.29
-0.17,-0.91,0.29
-0.17,-0.91,0.29
-0.17,-0.92,0.3
-0.18,-0.92,0.31
-0.18,-0.91,0.32
-0.18,-0.9,0.32
-0.17,-0.9,0.32
-0.18,-0.91,0.31
-0.18,-0.91,0.31
-0.18,-0.9,0.35
-0.16,-0.86,0.41
-0.05,-0.65,0.51
-0.11,-0.66,0.52
-0.08,-1.08,0.44
-0.29,-1.08,0.36
-0.27,-1.0,0.35
-0.19,-0.45,0.4
-0.02,-0.22,0.71
0.06,0.11,1.59
-0.03,0.36,1.55
-0.05,0.26,0.92
-0.05,-0.01,0.82
0.0,-0.51,0.97
-0.01,-0.76,0.87
-0.05,-1.06,0.65
-0.08,-1.05,0.65
-0.08,-0.86,0.64
-0.05,-0.77,0.64
-0.05,-0.56,0.84
-0.06,-0.48,0.94
-0.07,-0.45,0.93
-0.07,-0.48,0.92
-0.07,-0.48,0.91
-0.07,-0.48,0.91
